t,Tpos,Tpro,Tneg,o2,test,abi_therapy,dtx_therapy
0.0,666.0,666.0,666.0,0.5,0.0,False,False
60.0,470.59129674636205,492.3628009586723,681.3372259534165,1.0757736318358424,0.011143744509811763,False,False
120.0,469.7671146352404,491.62971013634206,697.3123213619951,1.077106272940465,0.01971691888662871,False,False
180.0,472.423752053512,494.00183896394844,713.6251865450863,1.076870729737006,0.026486495978134735,False,False
240.0,476.4937789381097,497.63098251570904,730.2728251980594,1.0765785254671916,0.03188000597641853,False,False
300.0,481.33936728636286,501.945323391208,747.2560765667728,1.0762564937861274,0.03621128588959198,False,False
360.0,486.6801173062484,506.6929409647682,764.5771218860722,1.0759147144595242,0.03971888949330108,False,False
420.0,492.3683599348843,511.74092444200176,782.2387411958438,1.0755581974357629,0.0425864550493434,False,False
480.0,498.3171900911057,517.0109272766846,800.2440095685787,1.0751898785068248,0.04495619554178519,False,False
540.0,504.47149183751407,522.4531840395034,818.5961476092247,1.0748115401524025,0.04693860889220795,False,False
600.0,510.79441180447446,528.034365053682,837.2984376600914,1.074424402635672,0.04861972387142442,False,False
660.0,517.2603437084201,533.731269901108,856.3541717646413,1.0740292374146636,0.050066598814307445,False,False
720.0,523.8509813686914,539.5272755484843,875.7666164426576,1.0736266650336255,0.051331550150462445,False,False
780.0,530.5529561404871,545.4102083121029,895.5389871128044,1.0732170213724663,0.05245541853164719,False,False
840.0,537.3563466429946,551.3710005351719,915.674427899766,1.0728006839518973,0.05347010727254181,False,False
900.0,544.2537061753609,557.4028133843015,936.1759963786537,1.0723777796116158,0.05440053588845601,False,False
960.0,551.2393981685269,563.5004373643839,957.0466492565627,1.0719485204551669,0.05526617062909182,False,False
1020.0,558.3091302463796,569.6598720112813,978.2892296675071,1.0715129951710398,0.05608222075515466,False,False
1080.0,565.4596206960365,575.8780251091164,999.9064558484993,1.0710712726477236,0.0568605711231446,False,False
1140.0,572.6883550056793,582.1524932610577,1021.9009105612241,1.0706232901295822,0.05761050975665479,False,False
1200.0,579.9934125624251,588.481406697927,1044.275017800394,1.0701695507294016,0.05833926739274732,False,False
1260.0,587.37330101667,594.8632769993517,1067.0310840348081,1.0697094788500239,0.059052577798849246,False,False
1320.0,594.8269037359883,601.2969554194647,1090.1712056418282,1.0692435601350372,0.059754829410044466,False,False
1380.0,602.3533512959167,607.7815107515165,1113.697354695813,1.0687712647067846,0.06044953259853529,False,False
1440.0,609.9520035860643,614.3162211007476,1137.6112714135695,1.0682934214852304,0.06113935850232923,False,False
1500.0,606.1704038144309,611.5384013587069,1138.2529512090098,1.0682951897457957,0.04864280038083648,True,True
1560.0,601.2209623652777,607.7233951995069,1138.9023116251487,1.0684247202949408,0.03881112906249074,True,True
1620.0,594.8675339851129,602.6565670159304,1139.5619009574432,1.0685963774810738,0.031074820733828834,True,True
1680.0,586.8510831076037,596.1000158171416,1140.2347690953002,1.0688179109698246,0.024985774090842773,True,True
1740.0,576.900164193893,587.800755082768,1140.924508463937,1.0690977781479727,0.020191305941867355,True,True
1800.0,564.7479549392747,577.5045625178764,1141.635269313604,1.0694444739732407,0.0164137790522803,True,True
